Obesity(%),Unemployment,Meningitis,Alzheimers Disease and Other Dementias,Parkinsons Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis,Total,GDP,GDP/cap,Elect(lib),CO2/cap,Total alcohol per capita(L),Population,id_Country,id_Year,id_Mortality
1.0,2.58,4805,539,155,3534,20181,542,842,1147,14585,15,5202,9411,18609,12661,71,700,0,23419,80,4380,1,1387,1269,354,3386,2528,1658,2282,3795,392,310,138240,3135045684.0,346.4105959,0.194,0.066902,0.0,9050086.0,22,1,547
1.1,2.61,4926,562,159,3636,21219,539,853,1175,16231,16,5224,9580,18630,12706,72,711,0,23198,80,4437,0,1421,1302,358,3486,2533,1677,2313,3847,395,310,141596,3356692518.0,361.0468756,0.361,0.065657,0.0,9297110.0,22,2,548
1.1,2.58,4533,585,163,3764,22127,544,873,1215,17412,16,5270,9792,18731,12829,74,727,0,23024,81,4505,0,1463,1339,363,3611,2548,1704,2351,3911,402,310,144267,3199536228.0,334.943237,0.477,0.063673,0.0,9552473.0,22,3,549
1.2,2.58,4571,609,168,3903,23097,555,887,1263,18135,17,5326,10019,18847,12992,75,743,22,22765,83,4576,0,1506,1376,368,3746,2563,1732,2387,3972,407,310,147020,1895290623.0,193.0702802,0.477,0.063903,0.0,9816584.0,22,4,550
1.3,2.53,4934,635,172,4068,24087,553,910,1301,18445,17,5371,10266,18968,13125,77,763,0,22564,84,4661,0,1553,1417,374,3906,2585,1764,2428,4040,414,311,149793,2379518099.0,235.8321506,0.477,0.060282,0.0,10089880.0,22,5,551
1.3,2.47,8992,661,176,4256,25022,553,926,1330,18426,18,5317,10468,18978,13267,78,774,0,22065,84,4702,0,1581,1446,376,4088,2583,1776,2438,4064,418,309,155172,2586550747.0,249.3605589,0.481,0.066348,0.0,10372734.0,22,6,552
1.4,2.47,7089,684,181,4514,26036,557,945,1368,18112,19,5304,10734,19017,13421,80,797,0,21430,85,4815,0,1623,1491,381,4337,2612,1804,2474,4119,425,308,154762,2447668985.0,229.4929493,0.48,0.07378,0.0,10665552.0,22,7,553
1.5,2.44,5564,709,185,4800,27093,567,970,1378,17603,20,5279,10933,19069,13563,83,822,0,20791,86,4948,0,1670,1538,386,4616,2649,1837,2491,4146,433,308,154537,2804902248.0,255.7182367,0.485,0.076684,0.0,10968722.0,22,8,554
1.6,2.51,5489,721,187,5045,28384,564,985,1388,16972,20,5294,11607,19230,13422,83,832,6,20520,87,4994,0,1679,1554,392,4849,2678,1839,2631,4364,440,306,156562,3389566983.0,300.4217239,0.487,0.079386,0.0,11282696.0,22,9,555
1.7,2.61,5909,750,196,5377,30813,590,1020,1414,16277,21,5383,12371,19981,13456,85,851,0,20537,90,5138,1,1713,1604,410,5170,2779,1881,2823,4671,464,313,162088,2968369991.0,255.7186873,0.515,0.086655,8.4,11607951.0,22,10,556
1.8,2.65,6980,749,196,5506,33631,554,1012,1415,15558,22,5214,12845,19879,13231,85,855,0,20070,89,5159,0,1700,1600,409,5301,2784,1803,2734,4521,454,309,164665,3190371050.0,267.0975996,0.532,0.080907,0.0,11944589.0,22,11,557
1.9,2.73,6643,765,203,5823,35983,541,1009,1444,14789,22,5111,13703,20364,13071,85,864,0,20132,90,5261,0,1720,1629,417,5615,2845,1772,2711,4488,459,311,167870,3622350204.0,294.6653885,0.527,0.079266,0.0,12293097.0,22,12,558
2.0,2.78,6609,779,209,6024,37628,575,1035,1495,13845,23,5131,13835,20203,13615,87,891,0,18958,90,5437,65,1759,1662,422,5812,2924,1806,2732,4506,466,314,168937,4740768355.0,374.627358,0.525,0.082463,0.0,12654624.0,22,13,559
2.2,3.41,6242,802,218,6247,37384,589,1065,1566,12694,24,5187,14245,20153,14046,90,922,0,18284,90,5655,76,1812,1705,429,6030,3026,1847,2781,4571,475,319,168574,5451688868.0,418.3766603,0.525,0.08182,0.0,13030576.0,22,14,560
2.3,4.0,6656,823,225,6424,37047,614,1103,1584,11405,25,5250,14696,20086,14460,93,950,0,17801,91,5863,6,1860,1743,435,6201,3134,1883,2832,4642,485,321,168738,6146352742.0,457.9334308,0.528,0.080864,9.19,13421935.0,22,15,561
2.5,3.65,6276,847,232,6289,36863,629,1133,1587,10083,26,5417,15078,19915,14858,95,962,0,17353,92,5999,16,1894,1776,437,6069,3236,1907,2661,4674,489,302,167195,6547420134.0,473.4498682,0.547,0.09475,0.0,13829173.0,22,16,562
2.6,3.3,6910,853,234,5659,37446,621,1164,1584,9100,27,5623,15406,19374,15281,97,979,52,16430,92,6110,0,1921,1795,429,5455,3275,1914,2521,4667,480,273,165772,7625723124.0,535.0622795,0.542,0.107799,0.0,14252029.0,22,17,563
2.8,3.41,5853,880,244,5250,39635,636,1190,1565,8096,29,5900,15917,19489,15364,98,990,6,16266,94,6253,14,1953,1839,434,5055,3347,1947,2420,4691,488,252,166195,9451436359.0,643.404581,0.539,0.114065,0.0,14689725.0,22,18,564
3.0,3.56,6135,896,250,4871,40824,655,1234,1571,7099,30,6211,16485,19393,15520,101,1015,9,15792,96,6421,0,1996,1884,438,4682,3428,1981,2354,4717,494,240,166822,9450697336.0,624.1751645,0.549,0.116867,0.0,15141098.0,22,19,565
3.2,3.64,6648,929,262,4536,41550,689,1308,1588,6384,32,6249,16924,19832,15934,106,1066,16,15252,100,6748,3,2090,1978,456,4350,3617,2053,2371,4854,514,242,168681,10109618964.0,647.8360955,0.567,0.126351,8.58,15605211.0,22,20,566
3.4,3.79,6505,946,267,4346,41532,695,1347,1593,5744,34,6322,17225,20258,16353,110,1095,0,14781,102,6993,2,2160,2032,467,4158,3727,2102,2359,4916,530,243,168944,12080296644.0,751.1727704,0.572,0.128349,0.0,16081915.0,22,21,567
3.6,3.91,6889,981,277,4250,41921,746,1442,1662,5403,37,6585,17803,20988,16798,116,1167,18,14539,108,7367,27,2265,2139,493,4056,4018,2189,2410,5085,559,252,172590,12561016091.0,758.000427,0.576,0.15303,0.0,16571252.0,22,22,568
3.8,4.05,4949,1021,290,4279,40557,777,1541,1723,5228,40,6937,18427,21760,17476,123,1233,2,14262,115,7792,3,2381,2252,524,4077,4292,2287,2482,5284,595,262,172971,13444301139.0,787.4694383,0.61,0.162382,0.0,17072791.0,22,23,569
4.0,4.19,5094,1042,294,4180,37300,810,1645,1794,4886,43,7190,18949,22316,17796,129,1296,0,14137,120,8165,7,2474,2346,545,3975,4527,2353,2546,5434,618,270,172281,13943016924.0,792.8462374,0.568,0.160237,0.0,17586029.0,22,24,570
4.3,4.32,4959,1091,309,4242,35100,846,1736,1836,4522,46,7392,19870,23240,18147,134,1346,8,14535,126,8576,25,2583,2467,573,4031,4777,2444,2631,5636,654,278,174160,11832159276.0,653.3272681,0.376,0.198471,11.83,18110616.0,22,25,571
4.5,4.43,5150,1098,310,4258,30745,890,1858,1928,4148,49,7583,20400,23914,18483,140,1417,15,15126,132,9017,88,2690,2570,600,4041,5054,2521,2753,5889,686,286,173839,12833363370.0,688.2506963,0.684,0.202536,0.0,18646350.0,22,26,572
1.2,1.51,1697,240,80,3968,14286,360,43,1251,8330,7,9565,8761,8438,7536,50,617,0,8926,65,3533,395,1049,746,230,3824,1343,2237,1473,2417,243,136,91846,1167398478.0,209.778011,0.09,0.042568,0.0,5564923.0,23,1,573
1.3,1.53,1929,244,81,3788,14317,344,41,1250,10482,7,9520,8793,8144,7311,51,619,0,9156,64,3561,122,1060,750,226,3647,1332,2218,1489,2432,237,136,93351,1083037671.0,190.4888799,0.166,0.037641,0.0,5685569.0,23,2,574
1.4,1.56,1664,249,82,3698,13360,330,44,1314,12314,8,9760,8894,8108,7572,52,644,0,9362,67,3630,5,1081,766,229,3557,1383,2228,1528,2494,239,142,94804,938632612.0,161.887525,0.276,0.040893,0.0,5798054.0,23,3,575
1.5,1.56,1641,253,82,3580,14182,335,46,1355,13971,8,9865,8888,8001,7637,53,656,0,9468,67,3652,12765,1089,771,226,3440,1403,2207,1547,2519,234,144,110085,925030590.2,156.812381,0.238,0.041976,0.0,5898964.0,23,4,576
1.5,1.58,1626,256,84,3529,14260,329,44,1341,15579,8,9910,8910,7904,7433,54,657,0,9463,67,3680,13083,1103,776,225,3391,1394,2200,1566,2540,233,147,111792,1000428394.0,167.0988878,0.254,0.040143,0.0,5987044.0,23,5,577
1.6,1.59,1629,258,83,3429,13976,306,44,1350,16722,8,9874,8829,7637,7296,54,658,0,9379,66,3679,13871,1106,777,222,3292,1394,2169,1578,2551,228,150,112615,869033856.3,143.4023238,0.224,0.040776,0.0,6060110.0,23,6,578
1.7,1.57,1560,262,83,3378,13688,313,260,1410,17350,8,9691,8663,7371,7329,54,656,0,9393,66,3651,13822,1100,771,217,3241,1394,2118,1581,2551,223,154,112358,972896267.9,158.9146699,0.188,0.042059,0.0,6122130.0,23,7,579
1.8,1.56,1560,266,83,3387,13812,306,48,1464,17645,8,9450,8493,7161,7363,54,651,0,9329,65,3633,13105,1095,767,214,3249,1399,2068,1588,2554,220,158,111195,893770806.1,144.4930173,0.184,0.041282,0.0,6185564.0,23,8,580
1.8,1.58,1536,271,82,3384,13788,294,49,1446,17660,8,9213,8249,6983,7370,54,636,0,9186,65,3585,13314,1080,757,210,3248,1391,2006,1569,2519,216,163,110332,808077223.4,128.9389187,0.186,0.040908,0.0,6267132.0,23,9,581
1.9,1.59,1539,275,82,3306,13618,279,151,1429,17329,8,9117,8115,6839,7390,54,626,0,9064,65,3550,14144,1074,754,207,3176,1382,1962,1554,2494,213,167,109963,870486065.9,136.4639708,0.187,0.042985,9.82,6378871.0,23,10,582
2.0,1.59,1555,278,81,3171,13354,290,52,1371,16773,7,8768,7864,6641,7431,53,602,0,8800,64,3470,13673,1045,735,203,3054,1370,1892,1517,2435,209,166,106924,876794723.1,134.3634269,0.19,0.031734,0.0,6525546.0,23,11,583
2.1,1.59,1698,286,81,3300,13198,311,55,1353,16052,8,8553,7818,6799,7576,53,598,0,9056,66,3491,13247,1041,738,211,3190,1419,1887,1515,2440,220,169,106429,825394490.2,123.1175361,0.205,0.031962,0.0,6704118.0,23,12,584
2.2,1.61,1733,294,82,3350,12672,324,102,1347,15204,8,8267,7830,6851,7750,54,602,0,9067,67,3546,13415,1046,742,218,3245,1471,1890,1527,2458,229,171,105562,784654423.6,113.5672513,0.211,0.023498,0.0,6909161.0,23,13,585
2.3,1.6,1615,303,83,3381,11364,307,116,1377,14084,8,8065,7927,6917,7948,56,611,3,9170,68,3623,12764,1059,751,226,3280,1527,1907,1552,2497,236,172,102997,915257323.4,128.3367028,0.21,0.027787,0.0,7131688.0,23,14,586
2.4,1.62,1666,313,85,3520,9746,338,66,1369,12833,8,7981,8046,7011,8144,57,618,0,9379,69,3699,12921,1072,762,233,3423,1575,1931,1574,2532,244,176,101391,1117113046.0,151.6815663,0.302,0.020827,8.44,7364857.0,23,15,587
2.5,1.61,1667,320,86,3307,8990,352,70,1330,11532,9,7906,8065,6965,8314,58,618,22,9336,70,3726,237,1074,767,235,3217,1582,1930,1550,2539,247,177,86298,1273375020.0,167.3764625,0.416,0.023922,0.0,7607850.0,23,16,588
2.7,1.63,1655,327,87,3133,8609,349,126,1300,10326,9,7830,8093,6892,8510,60,619,5,9272,72,3760,33,1077,771,236,3049,1608,1927,1536,2557,248,178,84254,1356199365.0,172.4955966,0.412,0.025366,0.0,7862226.0,23,17,589
2.8,1.63,1622,336,88,2883,8532,329,78,1293,9311,9,7747,8166,6726,8750,61,626,9,9113,73,3806,292,1087,778,233,2805,1618,1927,1534,2586,245,179,82842,1611835902.0,198.3528517,0.407,0.025229,0.0,8126104.0,23,18,590
3.0,1.62,1620,346,89,2749,8894,335,82,1297,8352,10,7649,8255,6660,8884,63,633,0,9034,73,3879,481,1102,791,235,2674,1632,1937,1538,2627,246,180,82347,1781455092.0,212.1370572,0.394,0.019352,0.0,8397661.0,23,19,591
3.1,1.61,1687,360,92,2794,8202,354,85,1294,7520,10,7689,8498,6836,8931,65,648,9,9362,75,4030,273,1139,817,244,2721,1684,1993,1573,2720,258,184,82147,2032135247.0,234.2355389,0.323,0.032519,7.66,8675606.0,23,20,592
3.3,1.6,1312,371,94,2752,7982,360,88,1306,6643,11,7750,8724,6760,8993,67,661,12,9579,77,4156,203,1169,840,249,2680,1721,2034,1582,2808,264,187,81435,2235820868.0,249.5779794,0.287,0.037452,0.0,8958406.0,23,21,593
3.5,1.59,1291,383,97,2711,6607,333,92,1294,5872,12,7851,8970,6811,9079,70,678,0,9850,79,4302,29,1203,864,253,2640,1760,2078,1609,2911,270,191,80190,2333341375.0,252.3624696,0.29,0.038709,0.0,9245992.0,23,22,594
3.7,1.58,1313,394,98,2697,6166,369,95,1288,5304,12,7976,9145,6907,9081,72,690,0,9884,81,4435,25,1231,887,258,2628,1794,2116,1632,2998,277,194,80047,2451606684.0,256.9736979,0.282,0.039213,0.0,9540302.0,23,23,595
4.0,1.57,1301,404,100,2584,5807,362,95,1266,4782,13,8065,9318,6837,8922,74,696,96,9893,82,4537,58,1257,905,256,2516,1792,2141,1652,3065,275,195,79346,2705783272.0,274.8578362,0.273,0.035751,0.0,9844301.0,23,24,596
4.2,1.6,1255,419,103,2371,6349,347,94,1236,4182,13,8131,9547,6610,8746,75,702,37,9616,82,4624,666,1287,924,249,2305,1782,2169,1676,3129,267,195,79188,3104003611.0,305.5111441,0.198,0.036744,7.03,10160034.0,23,25,597
4.4,1.59,1191,432,105,2116,7893,323,95,1236,3424,14,8141,9740,6281,8655,77,714,26,9150,82,4699,369,1312,938,239,2052,1778,2185,1705,3191,255,195,78613,2639321196.0,251.6514772,0.167,0.042871,0.0,10488002.0,23,26,598
0.7,0.73,938,505,139,4130,568,1824,440,1654,25,19,9491,14120,24590,9385,109,594,100,7435,5,6315,338,1525,1181,111,3957,2533,2763,4777,7967,311,234,108083,0.0,0.0,0.139,0.140872,0.0,9289298.0,24,1,599
0.7,0.75,923,521,143,3837,516,1794,446,1629,111,20,9605,14395,24325,9264,111,605,0,7251,5,6441,257,1562,1203,109,3673,2549,2797,4863,8090,306,232,107583,0.0,0.0,0.166,0.138745,0.0,9623899.0,24,2,600
0.8,0.8,904,540,148,3567,597,1767,451,1589,342,20,9774,14777,23977,9088,114,617,0,7140,5,6598,484,1610,1229,107,3412,2570,2845,4968,8245,300,230,108015,2533727592.0,254.1166348,0.323,0.135206,0.0,9970727.0,24,3,601
0.8,1.33,930,558,153,3322,537,1755,459,1599,778,21,9982,15198,23576,8873,117,630,506,7069,5,6762,797,1662,1258,105,3174,2599,2902,5081,8414,296,228,109346,2791435272.0,270.5429401,0.372,0.134002,0.0,10317901.0,24,4,602
0.9,0.78,980,578,158,3086,491,1736,466,1625,1449,22,10144,15605,23058,8621,121,642,0,6757,5,6928,747,1710,1279,104,2945,2631,2959,5188,8573,290,224,109122,3441205693.0,322.9315754,0.372,0.137238,0.0,10656145.0,24,5,603
1.0,0.84,968,598,163,2833,472,1696,486,1599,2337,22,10268,15925,22324,8313,122,646,59,6354,5,7059,890,1745,1295,101,2699,2639,2997,5274,8690,282,219,109080,3506695720.0,319.2863136,0.372,0.135648,0.0,10982919.0,24,6,604
1.1,0.91,893,619,168,2589,556,1658,511,1564,3366,23,10377,16259,21490,7999,124,651,25,6032,5,7190,544,1780,1309,98,2461,2648,3038,5362,8807,275,212,108633,3443413389.0,304.7647688,0.372,0.128206,0.0,11298594.0,24,7,605
1.1,0.94,736,642,173,2356,422,1639,522,1505,4455,24,10501,16679,20652,7715,126,660,0,5741,5,7356,310,1824,1330,97,2234,2683,3092,5479,8962,269,206,108395,3120425503.0,268.9903722,0.351,0.160764,0.0,11600510.0,24,8,606
1.2,0.9,693,668,179,2129,430,1589,503,1485,5492,24,10506,17110,19784,7491,126,665,7,5393,5,7519,1,1864,1347,94,2012,2706,3136,5579,9081,261,197,108076,3517242477.0,295.9031784,0.329,0.159197,0.0,11886464.0,24,9,607
1.3,0.97,648,697,185,1907,967,1531,479,1423,6401,25,10454,17476,18788,7264,121,661,347,4921,4,7653,16,1897,1359,91,1794,2691,3175,5666,9159,251,189,108240,3654031716.0,300.613679,0.323,0.162961,1.87,12155241.0,24,10,608
1.4,1.03,617,732,192,1713,609,1519,466,1361,7121,25,10217,17860,17991,7049,115,669,56,4484,4,7822,5,1939,1379,90,1603,2733,3230,5815,9319,247,178,107160,3984000517.0,321.1502236,0.321,0.182336,0.0,12405411.0,24,11,609
1.4,1.1,600,773,200,1552,633,1532,461,1291,7593,25,9860,18226,17390,6940,110,674,29,4159,4,8040,4,1986,1404,90,1446,2775,3295,5961,9484,247,198,106982,4284028483.0,338.9874773,0.322,0.17559,0.0,12637719.0,24,12,610
1.5,1.11,567,818,209,1377,916,1497,458,1196,7801,25,9423,18603,16573,6818,108,675,0,3814,4,8254,2,2038,1427,88,1276,2779,3363,6089,9623,242,221,106284,4658246918.0,362.3354822,0.324,0.185955,0.0,12856171.0,24,13,611
1.6,1.13,531,867,220,1222,747,1462,459,1119,7710,26,9024,19034,15782,6707,107,682,0,3484,4,8511,0,2101,1457,87,1125,2802,3438,6231,9775,238,251,105203,5337833248.0,408.5136388,0.321,0.187755,0.0,13066475.0,24,14,612
1.7,1.13,494,919,230,1088,487,1418,461,1021,7287,26,8650,19441,15054,6605,106,687,16,3174,4,8768,1,2162,1482,85,996,2810,3507,6351,9884,233,289,103736,6293046162.0,474.1111921,0.315,0.209386,2.69,13273355.0,24,15,613
1.8,1.21,454,973,241,964,822,1340,460,903,6523,26,8315,19856,14322,6510,105,681,5,2915,4,8999,1,2219,1506,81,876,2769,3572,6420,9933,225,326,102346,7274595707.0,539.7503289,0.315,0.222377,0.0,13477705.0,24,16,614
1.9,1.26,420,1030,253,867,442,1298,470,834,5541,27,8114,20408,13781,6412,106,690,2,2694,4,9318,2,2294,1548,80,782,2792,3657,6535,10045,221,368,101035,8639235842.0,631.5252576,0.315,0.253095,0.0,13679953.0,24,17,615
2.1,0.82,389,1089,266,785,490,1245,473,778,4628,28,7953,21017,13323,6291,107,693,0,2505,4,9629,1,2371,1587,78,703,2783,3748,6618,10120,217,406,100325,10351914093.0,745.609127,0.314,0.277305,0.0,13883835.0,24,18,616
2.2,0.58,357,1147,280,720,603,1199,479,711,3920,28,7835,21722,12918,6153,108,696,19,2360,4,9944,0,2456,1629,76,641,2774,3850,6705,10206,213,453,100206,10401851851.0,738.0547312,0.309,0.321925,0.0,14093605.0,24,19,617
2.4,0.77,312,1209,295,679,335,1183,495,668,3361,29,7741,22564,12732,5991,110,708,8,2250,4,10345,25,2563,1684,75,601,2800,3971,6846,10371,213,416,100584,11242275199.0,785.5026671,0.308,0.353544,4.91,14312205.0,24,20,618
2.5,0.58,289,1273,310,642,320,1136,498,595,2875,29,7551,23410,12492,5779,112,711,247,2142,4,10723,23,2670,1735,74,565,2790,4090,6959,10494,209,393,101140,12829541141.0,882.275614,0.308,0.361928,0.0,14541421.0,24,21,619
2.7,0.51,279,1335,324,618,148,1136,513,561,2521,30,7350,24179,12429,5609,114,718,14,2067,4,11114,4,2768,1783,74,542,2801,4186,7085,10631,211,375,101523,14054443213.0,950.880346,0.304,0.377098,0.0,14780454.0,24,22,620
2.9,0.44,262,1399,338,594,84,1109,513,559,2290,31,7134,24962,12281,5423,116,724,200,1982,4,11526,6,2876,1835,73,519,2804,4281,7208,10757,209,359,102458,15227991395.0,1013.420536,0.293,0.37579,0.0,15026330.0,24,23,621
3.1,0.69,257,1461,352,581,118,1113,514,555,2121,32,6934,25734,12303,5264,119,734,45,1934,4,11963,4,2984,1886,73,506,2828,4379,7369,10941,211,349,103668,16702610842.0,1093.495976,0.292,0.449302,0.0,15274506.0,24,24,622
3.3,0.39,174,1526,367,569,138,1108,514,535,1961,33,6734,26558,12179,5146,121,748,0,1893,4,12436,2,3103,1943,74,495,2849,4485,7554,11160,212,340,104961,18049954289.0,1162.904995,0.292,0.542604,6.37,15521435.0,24,25,623
3.5,0.72,159,1591,383,557,94,1098,514,519,1825,34,6531,27398,12124,4986,124,764,0,1853,4,12927,5,3229,2004,73,483,2870,4595,7760,11411,213,332,106460,20016747754.0,1269.591499,0.273,0.699008,0.0,15766290.0,24,26,624
3.2,7.5,2469,572,180,1593,10642,396,378,1892,1899,18,4779,10577,11346,11849,77,716,2,21190,57,4896,36,1527,2000,197,1518,2569,2662,2356,3888,264,481,103026,11840192674.0,975.4719489,0.27,0.226567,0.0,12137912.0,25,1,625
3.4,7.61,2574,587,185,1632,11540,412,370,1944,2930,20,4983,10960,11809,12075,80,761,0,21462,61,5076,6,1612,2077,209,1557,2721,2698,2434,4029,277,496,107577,12071775381.0,965.7807389,0.291,0.223628,0.0,12499499.0,25,2,626
3.6,7.8,2893,600,190,1668,12434,428,412,1999,4358,21,5269,11414,12336,12319,84,811,0,21968,65,5283,0,1711,2158,219,1593,2862,2744,2520,4187,291,515,113352,16181813512.0,1257.905709,0.293,0.229507,0.0,12864091.0,25,3,627
3.7,7.81,2515,612,194,1673,13341,439,417,2062,6239,23,5547,11824,12732,12495,86,857,6,22527,70,5462,99,1809,2224,229,1599,2992,2769,2599,4333,303,529,118606,8902446188.0,672.848688,0.293,0.22112,0.0,13230978.0,25,4,628
3.9,7.93,2549,625,198,1673,14281,448,404,2120,8600,24,5838,12307,13099,12664,89,910,0,22994,74,5650,5,1914,2283,241,1599,3133,2794,2684,4490,315,545,124550,10864773037.0,798.8813102,0.292,0.242492,0.0,13599984.0,25,5,629
4.1,8.06,2681,640,204,1678,15315,459,425,2198,11418,26,6091,12856,13487,12878,93,968,0,23506,79,5851,3,2036,2341,253,1605,3293,2819,2775,4658,328,567,131531,11093539497.0,794.0511616,0.292,0.264736,0.0,13970812.0,25,6,630
4.3,7.93,2875,655,210,1684,16515,472,449,2313,14635,27,6334,13493,13875,13109,96,1039,0,23589,84,6103,0,2187,2422,267,1611,3481,2850,2885,4859,343,595,139057,10789457915.0,752.1698237,0.295,0.226478,0.0,14344444.0,25,7,631
4.5,7.82,3213,673,218,1689,17750,485,527,2374,18125,29,6572,14204,14260,13311,100,1113,0,23798,89,6386,0,2350,2504,281,1614,3666,2890,2996,5059,360,623,147259,11298144512.0,767.3403603,0.298,0.21908,0.0,14723772.0,25,8,632
4.7,7.7,3265,688,225,1682,18918,496,499,2437,21798,30,6858,14873,14658,13563,103,1177,24,23954,94,6645,1,2500,2579,292,1606,3830,2927,3075,5215,373,646,155031,11565827386.0,765.3103315,0.298,0.203886,0.0,15112598.0,25,9,633
4.9,7.59,3179,710,238,1615,19778,507,522,2538,25498,31,7184,15690,15186,13818,106,1242,3,24736,99,6965,21,2661,2694,303,1539,4001,3016,3163,5362,388,700,163493,10566578953.0,681.102043,0.311,0.221712,6.69,15513944.0,25,10,634
5.1,7.46,3270,719,246,1488,21253,508,538,2621,28995,33,7268,16191,15425,14075,109,1299,30,25481,101,7221,0,2778,2772,308,1414,4131,3072,3227,5428,396,740,171137,10953485244.0,687.6481344,0.311,0.214664,0.0,15928910.0,25,11,635
5.3,6.7,3719,744,260,1560,23954,577,567,2748,32158,34,7390,16885,16737,14533,113,1358,0,28591,107,7586,0,2923,2905,337,1484,4442,3179,3313,5569,434,759,184966,12417251816.0,759.1118514,0.313,0.208957,0.0,16357605.0,25,12,636
5.6,5.93,3812,762,271,1511,26346,592,581,2895,34664,36,7206,17429,17001,15067,116,1418,20,29194,107,7908,0,3062,2996,347,1436,4617,3245,3378,5650,447,712,192826,15970315751.0,950.5648637,0.315,0.226159,0.0,16800869.0,25,13,637
5.8,5.14,3754,789,285,1453,28480,592,592,3021,35636,38,7011,17929,17078,15615,120,1471,0,29002,107,8229,2,3204,3085,353,1379,4744,3316,3432,5714,455,654,197540,18826215278.0,1090.785332,0.318,0.229115,0.0,17259322.0,25,14,638
6.1,4.4,3815,820,300,1412,28905,598,614,3123,35732,40,6962,18537,17263,16109,124,1532,2,29004,109,8586,48,3361,3192,360,1338,4895,3406,3509,5815,466,615,200592,19509850837.0,1100.174926,0.317,0.207887,7.62,17733408.0,25,15,639
6.3,3.73,3900,861,318,1379,27818,603,647,3208,36529,42,7038,19200,17586,16466,128,1585,0,28899,112,8953,31,3500,3306,366,1305,5033,3493,3562,5906,477,589,202840,20910513975.0,1147.4366,0.317,0.211391,0.0,18223677.0,25,16,640
6.6,3.06,3898,874,323,1309,27259,594,596,3283,36586,44,7174,19534,17599,16736,132,1641,8,27288,114,9201,66,3584,3375,367,1237,5126,3519,3570,5914,480,558,201989,23928251334.0,1277.516807,0.318,0.312467,0.0,18730283.0,25,17,641
6.9,3.41,3954,918,342,1274,25685,595,630,3284,35660,46,7402,20180,17972,16876,136,1684,9,26219,117,9551,40,3712,3493,371,1204,5212,3599,3589,5961,490,533,200738,27715144580.0,1439.547804,0.319,0.28897,0.0,19252674.0,25,18,642
7.2,3.77,3860,959,358,1275,24243,617,672,3321,34992,49,7624,20845,18557,16983,140,1745,0,25590,122,9969,3,3849,3632,384,1204,5380,3684,3634,6050,510,520,200771,27932971683.0,1411.474572,0.319,0.34132,0.0,19789922.0,25,19,643
7.5,4.11,3979,1005,376,1296,23659,650,713,3310,34777,52,7721,21515,19157,16908,145,1802,13,25835,127,10446,6,4016,3813,399,1225,5603,3773,3694,6165,535,514,203229,27507499709.0,1352.302275,0.317,0.335146,8.43,20341236.0,25,20,644
7.8,3.96,3346,1052,390,1297,22623,663,747,3312,34764,55,7797,22200,19186,16951,151,1871,0,25310,130,10940,17,4186,3984,411,1225,5779,3865,3711,6297,552,507,203319,30630912185.0,1465.145788,0.32,0.318871,0.0,20906392.0,25,21,645
8.1,3.82,3199,1093,402,1258,20835,661,773,3262,34372,58,7808,22835,19094,16906,156,1934,25,23523,132,11370,5,4325,4100,413,1186,5878,3931,3731,6397,557,492,200711,30155064574.0,1403.522915,0.325,0.361503,0.0,21485267.0,25,22,646
8.4,3.67,3221,1153,420,1242,20602,671,804,3241,34931,61,7794,23423,19175,16904,162,2002,0,23212,134,11833,14,4470,4220,422,1171,6043,4008,3785,6552,572,480,202722,33728622819.0,1527.751257,0.318,0.362852,0.0,22077300.0,25,23,647
8.8,3.53,3204,1203,430,1201,20685,665,829,3218,35530,64,7709,23917,18946,16778,166,2048,0,22142,135,12232,1117,4581,4324,422,1130,6169,4045,3828,6662,575,464,204419,36386546918.0,1604.214035,0.326,0.393349,0.0,22681853.0,25,24,648
9.2,3.55,3003,1267,448,1111,20962,628,831,3119,34326,66,7435,24650,18141,16525,169,2075,4,20679,131,12532,1714,4679,4395,407,1042,6093,4056,3840,6708,560,436,202032,32210232912.0,1382.50979,0.326,0.428055,6.17,23298376.0,25,25,649
9.5,3.58,3047,1310,454,1114,22810,662,868,3067,31500,69,7257,24881,18189,16252,172,2123,0,21193,132,12930,970,4775,4491,419,1044,6266,4072,3913,6859,580,431,201850,33814337900.0,1413.255957,0.306,0.419309,0.0,23926549.0,25,26,650
15.8,10.32,126,6549,1604,227,0,394,642,19,942,495,201,74607,6761,1185,718,4137,3,70,137,55028,0,4549,2800,178,168,4139,9654,3186,7413,428,15,186375,610328000000.0,21768.34329,0.83,16.060949,0.0,27888813.0,26,1,651
